Code,Country,# of Contestants,Total Score,Gold Awards,Silver Awards,Bronze Awards,Honorable Mentions
ARG,Argentina,10,122,0,2,4,3
AUS,Australia,10,165,0,3,4,3
BGD,Bangladesh,10,135,0,2,5,3
BOL,Bolivia,5,66,0,2,1,1
BRA,Brazil,10,148,0,2,5,3
KHM,Cambodia,5,20,0,0,0,1
CAN,Canada,10,220,1,2,4,3
COL,Colombia,9,61,0,0,2,3
CRI,Costa Rica,10,12,0,0,0,1
SLV,El Salvador,4,28,0,0,1,1
GTM,Guatemala,2,7,0,0,0,0
HKG,Hong Kong,10,145,0,3,4,2
IND,India,10,123,0,0,7,3
IDN,Indonesia,10,173,1,2,4,3
IRN,Islamic Republic of Iran,10,186,1,2,4,3
JPN,Japan,10,254,1,2,4,3
KAZ,Kazakhstan,10,141,0,1,6,3
KOR,Republic of Korea,10,320,1,2,4,3
KGZ,Kyrgyzstan,8,54,0,0,1,5
MYS,Malaysia,10,100,0,2,2,3
MEX,Mexico,10,132,0,1,6,3
NZL,New Zealand,10,88,0,1,3,1
NIC,Nicaragua,10,24,0,0,0,3
MKD,Macedonia,10,85,0,0,2,7
PAK,Pakistan,10,47,0,0,1,1
PAN,Panama,3,21,0,0,0,3
PER,Peru,10,166,1,2,4,3
PHL,Philippines,10,153,1,2,4,3
RUS,Russia,10,210,1,2,4,3
SAU,Saudi Arabia,10,97,0,0,3,7
SGP,Singapore,10,231,1,2,4,3
LKA,Sri Lanka,6,40,0,0,0,5
SYR,Syria,10,60,0,0,2,4
TWN,Taiwan,10,208,1,2,4,3
TJK,Tajikistan,10,75,0,0,0,10
THA,Thailand,10,185,1,2,4,3
TTO,Trinidad and Tobago,10,24,0,0,0,1
TKM,Turkmenistan,10,85,0,0,2,8
USA,United States of America,10,306,1,2,4,3
