Code,Country,# of Contestants,Total Score,Gold Awards,Silver Awards,Bronze Awards,Honorable Mentions
ARG,Argentina,10,108,0,2,3,5
AUS,Australia,10,140,0,0,7,3
AZE,Azerbaijan,10,80,0,0,0,10
BGD,Bangladesh,10,133,0,2,5,3
BOL,Bolivia,2,16,0,0,1,0
BRA,Brazil,10,151,1,2,4,3
CAN,Canada,10,169,1,2,4,3
COL,Colombia,9,84,0,2,1,3
CRI,Costa Rica,9,57,0,0,1,5
SLV,El Salvador,7,38,0,0,0,4
HKG,Hong Kong,10,200,1,2,4,3
IND,India,10,166,1,2,4,3
IDN,Indonesia,10,139,0,1,6,3
IRN,Islamic Republic of Iran,10,161,1,2,4,3
JPN,Japan,10,160,1,2,4,3
KAZ,Kazakhstan,10,145,0,3,4,3
KGZ,Kyrgyzstan,10,127,1,2,3,4
MKD,Macedonia,4,31,0,1,0,1
MYS,Malaysia,10,158,1,2,4,3
MEX,Mexico,10,124,0,0,4,6
MAR,Morocco,10,96,0,1,1,7
NZL,New Zealand,10,81,0,0,3,3
NIC,Nicaragua,4,18,0,0,0,2
PAN,Panama,2,27,0,0,2,0
PER,Peru,10,147,0,3,4,3
PHL,Philippines,10,123,1,0,4,4
KOR,Republic of Korea,10,246,1,2,4,3
SAU,Saudi Arabia,10,141,0,2,5,3
SGP,Singapore,10,153,1,2,4,3
LKA,Sri Lanka,8,49,0,0,1,3
SYR,Syria,10,130,0,0,7,3
TWN,Taiwan,10,171,1,2,4,3
TJK,Tajikistan,10,50,0,0,0,5
THA,Thailand,10,177,1,2,4,3
TTO,Trinidad and Tobago,10,11,0,0,0,0
UKR,Ukraine,10,139,0,0,7,3
USA,United States of America,10,223,1,2,4,3
URY,Uruguay,10,46,0,0,1,2
UZB,Uzbekistan,10,124,0,0,7,3
